[0,0,-20,-13,-20,-13,-20,-13,-19,-14,-18,-14,-17,-14,-17,-13,-17,-13,-16,-14,-15,-14,-15,-15,-15,-15,-14,-14,-13,-14,-13,-13,-14,-14,-12,-13,-13,-13,-12,-12,-12,-12,-12,-12,-12,-12,-11,-12,-12,-11,-12,-12,-12,-10,0,0,-12,-10,-11,-10,-11,-9,-12,-9,-10,-9,-11,-8,-11,-8,-11,-7,-11,-7,-11,-6,-11,-6,-10,-6,-10,-6,-10,-5,-10,-5,-10,-5,-10,-5,-9,-4,-9,-3,-9,-3,-9,-3,-8,-3,-8,-2,-8,-2,-8,-2,-7,-1]
[0,0,21,-9,21,-9,20,-9,22,-8,21,-7,20,-6,20,-7,19,-7,19,-5,18,-5,20,-4,20,-4,19,-4,19,-3,18,-4,17,-3,17,-3,16,-3,16,-3,15,-4,15,-4,15,-4,14,-3,15,-4,15,-4,14,-4,0,0,13,-5,13,-5,13,-5,12,-5,12,-5,12,-6,12,-6,10,-6,11,-6,9,-6,10,-6,9,-5,9,-5,9,-6,8,-5,8,-6,8,-6,7,-6,6,-6,5,-7,6,-6,5,-6,4,-6,4,-6,4,-6,3,-6]
[0,0,-5,22,-6,21,-6,22,-7,22,-8,21,-8,19,-7,19,-7,19,-8,18,-8,18,-9,18,-9,18,-9,17,-9,17,-9,16,-9,17,-8,15,-8,14,-8,14,-7,14,-7,14,-7,14,-7,13,-7,13,-7,14,-6,13,0,0,-6,13,-5,13,-5,13,-4,12,-5,12,-4,12,-4,13,-3,11,-3,11,-3,11,-2,11,-2,10,-2,11,-1,10,-2,10,-1,10,-1,10,0,8,0,8,1,8,0,8,0,7,1,7,1,7,1,7,1,6]
[0,0,-2,-24,-2,-23,-1,-24,0,-24,0,-23,1,-22,1,-22,0,-21,2,-21,2,-20,3,-21,2,-20,3,-19,3,-19,3,-18,2,-19,3,-17,2,-17,2,-17,1,-16,1,-17,2,-17,1,-15,1,-16,2,-16,0,-15,0,0,0,-15,0,-15,-1,-14,-1,-14,0,-13,-1,-14,-1,-14,-2,-13,-2,-12,-2,-11,-3,-12,-2,-11,-2,-11,-3,-11,-3,-11,-3,-10,-3,-10,-4,-9,-4,-9,-5,-8,-4,-8,-4,-8,-4,-7,-4,-7,-4,-7,-4,-6]
[0,0,10,-21,10,-20,11,-21,12,-21,12,-20,11,-17,11,-17,11,-17,12,-17,12,-16,12,-16,12,-16,12,-16,12,-15,11,-14,12,-14,11,-14,10,-13,10,-13,10,-13,9,-13,9,-13,9,-12,8,-13,9,-13,8,-12,0,0,8,-13,7,-13,7,-12,6,-12,6,-12,6,-12,6,-12,5,-12,5,-11,3,-11,3,-11,3,-10,4,-11,3,-10,3,-10,2,-10,2,-10,1,-9,1,-9,0,-9,1,-9,0,-8,0,-9,-1,-8,0,-7,-1,-7]
[0,0,20,16,19,15,19,16,18,17,17,17,16,17,16,16,15,16,15,17,14,16,14,17,14,17,13,16,12,16,11,16,12,16,12,15,11,15,11,14,11,14,11,13,11,13,10,13,10,12,11,13,11,12,0,0,11,11,11,11,11,10,11,10,10,10,10,9,11,9,10,8,10,8,10,7,10,7,10,7,10,6,10,5,9,6,9,5,9,5,9,4,9,4,8,3,9,3,8,3,8,2,7,1,7,2,7,1]
[0,0,-2,25,-3,25,-4,24,-5,26,-5,24,-6,22,-5,22,-5,22,-6,22,-7,21,-8,21,-8,21,-7,20,-8,20,-7,19,-7,19,-7,18,-7,17,-7,17,-6,17,-6,17,-6,17,-6,15,-6,15,-6,16,-4,15,0,0,-4,15,-4,15,-4,15,-3,14,-4,14,-2,14,-3,14,-2,13,-2,13,-1,12,-1,12,-1,12,-1,12,0,12,-1,11,0,11,0,11,1,9,1,9,2,8,1,9,1,8,2,8,2,8,1,7,2,6]
[0,0,-9,-25,-8,-24,-7,-25,-6,-25,-6,-26,-4,-23,-5,-23,-5,-22,-5,-23,-3,-23,-3,-23,-3,-23,-2,-22,-2,-22,-1,-21,-3,-22,-2,-19,-3,-20,-2,-18,-3,-18,-3,-18,-3,-19,-2,-18,-3,-17,-2,-18,-3,-17,0,0,-4,-16,-4,-16,-4,-15,-5,-15,-4,-14,-5,-15,-5,-15,-5,-13,-6,-13,-6,-12,-6,-12,-5,-12,-5,-12,-6,-11,-6,-11,-6,-10,-6,-11,-6,-9,-6,-8,-7,-8,-7,-8,-6,-7,-7,-7,-6,-7,-6,-6,-6,-5]
[0,0,23,-2,22,-1,22,-1,22,0,21,0,20,2,21,2,20,2,20,3,19,3,19,3,20,3,18,3,18,3,17,3,18,3,16,3,16,3,16,3,15,2,15,3,15,2,14,3,14,2,15,2,14,1,0,0,14,1,13,0,14,0,13,0,12,1,12,0,13,0,11,-1,12,-1,11,-1,11,-2,10,-1,10,-2,10,-2,10,-2,9,-2,9,-3,9,-3,8,-3,7,-4,8,-3,7,-3,7,-4,6,-4,6,-4,5,-4]
[0,0,-21,13,-19,12,-20,12,-20,11,-20,11,-19,9,-20,9,-19,9,-19,8,-19,7,-19,7,-19,6,-18,6,-18,6,-17,5,-19,6,-17,5,-17,5,-15,5,-16,6,-15,5,-15,5,-15,5,-15,5,-15,5,-14,5,0,0,-14,6,-13,6,-13,6,-12,6,-12,5,-12,6,-12,6,-10,6,-11,6,-10,6,-10,6,-9,6,-10,6,-8,6,-9,5,-8,6,-8,7,-7,6,-7,6,-6,6,-6,6,-6,6,-5,6,-4,5,-5,5,-4,5]
